config,seed,trial,clean_best_so_far
A: baseline (plain GP),42,1,0.30064198627220906
A: baseline (plain GP),42,2,0.5151725753891216
A: baseline (plain GP),42,3,0.5075260754860572
A: baseline (plain GP),42,4,0.5075260754860572
A: baseline (plain GP),42,5,0.5075260754860572
A: baseline (plain GP),42,6,0.5075260754860572
A: baseline (plain GP),42,7,0.5978368536968982
A: baseline (plain GP),42,8,0.6061230723927621
A: baseline (plain GP),42,9,0.6062020473569801
A: baseline (plain GP),42,10,0.6062020473569801
A: baseline (plain GP),42,11,0.6064179028531301
A: baseline (plain GP),42,12,0.6064179028531301
A: baseline (plain GP),42,13,0.6064179028531301
A: baseline (plain GP),42,14,0.606374597547393
A: baseline (plain GP),42,15,0.606374597547393
A: baseline (plain GP),42,16,0.606374597547393
A: baseline (plain GP),42,17,0.606374597547393
A: baseline (plain GP),42,18,0.606374597547393
A: baseline (plain GP),42,19,0.606374597547393
A: baseline (plain GP),42,20,0.606374597547393
A: baseline (plain GP),42,21,0.606374597547393
A: baseline (plain GP),43,1,0.09216088394989201
A: baseline (plain GP),43,2,0.10228478812081578
A: baseline (plain GP),43,3,0.4469449783346927
A: baseline (plain GP),43,4,0.4469449783346927
A: baseline (plain GP),43,5,0.4469449783346927
A: baseline (plain GP),43,6,0.5663419037277398
A: baseline (plain GP),43,7,0.6043112944700647
A: baseline (plain GP),43,8,0.6062372833396648
A: baseline (plain GP),43,9,0.6062372833396648
A: baseline (plain GP),43,10,0.6039260067124341
A: baseline (plain GP),43,11,0.6039260067124341
A: baseline (plain GP),43,12,0.6039260067124341
A: baseline (plain GP),43,13,0.6039260067124341
A: baseline (plain GP),43,14,0.6039260067124341
A: baseline (plain GP),43,15,0.6039260067124341
A: baseline (plain GP),43,16,0.6039260067124341
A: baseline (plain GP),43,17,0.6039260067124341
A: baseline (plain GP),43,18,0.6039260067124341
A: baseline (plain GP),43,19,0.6039260067124341
A: baseline (plain GP),43,20,0.6039260067124341
A: baseline (plain GP),43,21,0.6039260067124341
A: baseline (plain GP),44,1,0.490520292401848
A: baseline (plain GP),44,2,0.490520292401848
A: baseline (plain GP),44,3,0.490520292401848
A: baseline (plain GP),44,4,0.490520292401848
A: baseline (plain GP),44,5,0.490520292401848
A: baseline (plain GP),44,6,0.490520292401848
A: baseline (plain GP),44,7,0.5652173764650461
A: baseline (plain GP),44,8,0.6034486974882182
A: baseline (plain GP),44,9,0.606434804751135
A: baseline (plain GP),44,10,0.606434804751135
A: baseline (plain GP),44,11,0.6059913262236359
A: baseline (plain GP),44,12,0.6059913262236359
A: baseline (plain GP),44,13,0.6059913262236359
A: baseline (plain GP),44,14,0.6059913262236359
A: baseline (plain GP),44,15,0.6059913262236359
A: baseline (plain GP),44,16,0.6059913262236359
A: baseline (plain GP),44,17,0.6059913262236359
A: baseline (plain GP),44,18,0.6059913262236359
A: baseline (plain GP),44,19,0.6059913262236359
A: baseline (plain GP),44,20,0.6059913262236359
A: baseline (plain GP),44,21,0.6059913262236359
A: baseline (plain GP),45,1,0.1529420458340148
A: baseline (plain GP),45,2,0.2636835884237844
A: baseline (plain GP),45,3,0.4969742837987084
A: baseline (plain GP),45,4,0.48989068524803253
A: baseline (plain GP),45,5,0.48989068524803253
A: baseline (plain GP),45,6,0.48989068524803253
A: baseline (plain GP),45,7,0.534105842490194
A: baseline (plain GP),45,8,0.5875413525374129
A: baseline (plain GP),45,9,0.5875413525374129
A: baseline (plain GP),45,10,0.6018068313664274
A: baseline (plain GP),45,11,0.6018068313664274
A: baseline (plain GP),45,12,0.6018068313664274
A: baseline (plain GP),45,13,0.6018068313664274
A: baseline (plain GP),45,14,0.6018068313664274
A: baseline (plain GP),45,15,0.6018068313664274
A: baseline (plain GP),45,16,0.6018068313664274
A: baseline (plain GP),45,17,0.6064142899936769
A: baseline (plain GP),45,18,0.6056957008053041
A: baseline (plain GP),45,19,0.6056957008053041
A: baseline (plain GP),45,20,0.6056957008053041
A: baseline (plain GP),45,21,0.6056957008053041
A: baseline (plain GP),46,1,0.38764724215179136
A: baseline (plain GP),46,2,0.38764724215179136
A: baseline (plain GP),46,3,0.4345708455086277
A: baseline (plain GP),46,4,0.48320003916499693
A: baseline (plain GP),46,5,0.48320003916499693
A: baseline (plain GP),46,6,0.48320003916499693
A: baseline (plain GP),46,7,0.5897036151399865
A: baseline (plain GP),46,8,0.6019206178888936
A: baseline (plain GP),46,9,0.6018809468029251
A: baseline (plain GP),46,10,0.6009623227414117
A: baseline (plain GP),46,11,0.6009623227414117
A: baseline (plain GP),46,12,0.6009623227414117
A: baseline (plain GP),46,13,0.6009623227414117
A: baseline (plain GP),46,14,0.6009623227414117
A: baseline (plain GP),46,15,0.6009623227414117
A: baseline (plain GP),46,16,0.6009623227414117
A: baseline (plain GP),46,17,0.6063717269686542
A: baseline (plain GP),46,18,0.6063717269686542
A: baseline (plain GP),46,19,0.6063717269686542
A: baseline (plain GP),46,20,0.6063225781021493
A: baseline (plain GP),46,21,0.6063225781021493
②: random_augment only,42,1,0.30064198627220906
②: random_augment only,42,2,0.5151725753891216
②: random_augment only,42,3,0.5075260754860572
②: random_augment only,42,4,0.5075260754860572
②: random_augment only,42,5,0.5075260754860572
②: random_augment only,42,6,0.5075260754860572
②: random_augment only,42,7,0.5075260754860572
②: random_augment only,42,8,0.5515033550024286
②: random_augment only,42,9,0.5515033550024286
②: random_augment only,42,10,0.5515033550024286
②: random_augment only,42,11,0.5873592828924309
②: random_augment only,42,12,0.5873592828924309
②: random_augment only,42,13,0.5873592828924309
②: random_augment only,42,14,0.5873592828924309
②: random_augment only,42,15,0.6045995555625906
②: random_augment only,42,16,0.6045995555625906
②: random_augment only,42,17,0.6045995555625906
②: random_augment only,42,18,0.6045995555625906
②: random_augment only,42,19,0.6045995555625906
②: random_augment only,42,20,0.6045995555625906
②: random_augment only,42,21,0.6045995555625906
②: random_augment only,43,1,0.09216088394989201
②: random_augment only,43,2,0.10228478812081578
②: random_augment only,43,3,0.4469449783346927
②: random_augment only,43,4,0.4469449783346927
②: random_augment only,43,5,0.4469449783346927
②: random_augment only,43,6,0.5663419037277398
②: random_augment only,43,7,0.5663419037277398
②: random_augment only,43,8,0.5663419037277398
②: random_augment only,43,9,0.5663419037277398
②: random_augment only,43,10,0.6048872027588001
②: random_augment only,43,11,0.6048872027588001
②: random_augment only,43,12,0.6048872027588001
②: random_augment only,43,13,0.6048872027588001
②: random_augment only,43,14,0.6048872027588001
②: random_augment only,43,15,0.6048872027588001
②: random_augment only,43,16,0.6048872027588001
②: random_augment only,43,17,0.6048872027588001
②: random_augment only,43,18,0.6048872027588001
②: random_augment only,43,19,0.6048872027588001
②: random_augment only,43,20,0.6048872027588001
②: random_augment only,43,21,0.6048872027588001
②: random_augment only,44,1,0.490520292401848
②: random_augment only,44,2,0.490520292401848
